,precision,recall,f1-score,support
0,1.0,1.0,1.0,37.0
1,1.0,0.9939,0.997,330.0
2,0.9909,1.0,0.9954,328.0
3,1.0,0.933,0.9654,224.0
4,0.9926,1.0,0.9963,268.0
5,0.9459,1.0,0.9722,280.0
6,1.0,1.0,1.0,60.0
7,1.0,1.0,1.0,230.0
8,1.0,0.99,0.995,200.0
9,1.0,0.9955,0.9977,220.0
10,1.0,1.0,1.0,296.0
11,1.0,0.9953,0.9976,212.0
12,1.0,1.0,1.0,316.0
13,1.0,1.0,1.0,324.0
14,1.0,1.0,1.0,113.0
15,0.9889,1.0,0.9944,89.0
16,1.0,1.0,1.0,60.0
17,1.0,1.0,1.0,194.0
18,1.0,1.0,1.0,173.0
19,1.0,1.0,1.0,29.0
20,1.0,0.9808,0.9903,52.0
21,1.0,0.9756,0.9877,41.0
22,1.0,1.0,1.0,49.0
23,1.0,0.9867,0.9933,75.0
24,1.0,1.0,1.0,40.0
25,1.0,1.0,1.0,223.0
26,1.0,1.0,1.0,94.0
27,1.0,1.0,1.0,39.0
28,1.0,1.0,1.0,78.0
29,0.9655,1.0,0.9825,28.0
30,0.9846,0.9846,0.9846,65.0
31,1.0,1.0,1.0,125.0
32,0.9767,1.0,0.9882,42.0
33,1.0,1.0,1.0,101.0
34,1.0,0.9846,0.9922,65.0
35,1.0,1.0,1.0,174.0
36,1.0,1.0,1.0,52.0
37,1.0,1.0,1.0,35.0
38,0.9939,1.0,0.9969,324.0
39,1.0,1.0,1.0,51.0
40,1.0,1.0,1.0,68.0
41,1.0,0.975,0.9873,40.0
42,1.0,1.0,1.0,38.0
accuracy,0.9954,0.9954,0.9954,0.9954
macro avg,0.9963,0.9952,0.9957,5882.0
weighted avg,0.9956,0.9954,0.9954,5882.0
